Scheme,NAV
HSBC Corporate Bond Fund Direct Quarterly IDCW,10.2713
HSBC Corporate Bond Fund Half Yearly IDCW,10.2326
HSBC Corporate Bond Fund Monthly IDCW,10.0416
HSBC Corporate Bond Fund Quarterly IDCW,10.2405
ICICI Prudential Mutual Fund,
ICICI Prudential Corporate Bond Fund - Bonus,14.9782
ICICI Prudential Corporate Bond Fund - Daily IDCW,10.1124
ICICI Prudential Corporate Bond Fund - Direct Plan - Daily IDCW,10.1064
ICICI Prudential Corporate Bond Fund - Direct Plan - Fortnightly IDCW,12.1855
ICICI Prudential Corporate Bond Fund - Direct Plan - Growth,24.3831
ICICI Prudential Corporate Bond Fund - Direct Plan - Half Yearly IDCW Option,12.941
ICICI Prudential Corporate Bond Fund - Direct Plan - Monthly IDCW,10.2705
ICICI Prudential Corporate Bond Fund - Direct Plan - Quarterly IDCW,14.9413
ICICI Prudential Corporate Bond Fund - Direct Plan - Weekly IDCW,10.2453
ICICI Prudential Corporate Bond Fund - Fortnightly IDCW,10.2394
ICICI Prudential Corporate Bond Fund - Growth,23.4863
ICICI Prudential Corporate Bond Fund - Half Yearly IDCW Option,12.7076
ICICI Prudential Corporate Bond Fund - Monthly IDCW,10.4239
ICICI Prudential Corporate Bond Fund - Premium Daily Dividend,10.0277
ICICI Prudential Corporate Bond Fund - Premium Monthly Dividend,10.077
ICICI Prudential Corporate Bond Fund - Weekly IDCW,10.3159
ICICI Prudential Corporate Bond Fund -Quarterly IDCW,10.8106
ICICI Prudential Corporate Bond Fund Retail Daily Dividend,10.0275
ICICI Prudential Corporate Bond Fund Retail Fort Nightly Dividend,10.3041
ICICI Prudential Corporate Bond Fund Retail Growth,22.7853
ICICI Prudential Corporate Bond Fund Retail Monthly Dividend,10.3008
ICICI Prudential Corporate Bond Fund Retail Quarterly Dividend,10.9335
ICICI Prudential Corporate Bond Fund Retail Weekly Dividend,10.2202
IDFC Mutual Fund,
IDFC Corporate Bond Fund - Direct Annual IDCW,10.5091
IDFC Corporate Bond Fund - Direct Growth,15.8382
IDFC Corporate Bond Fund - Direct Half Yearly IDCW,11.3581
IDFC Corporate Bond Fund - Direct Monthly IDCW,10.3752
IDFC Corporate Bond Fund - Direct Periodic IDCW,10.5077
IDFC Corporate Bond Fund - Direct Quarterly IDCW,10.3751
IDFC Corporate Bond Fund - Regular Annual IDCW,10.4868
IDFC Corporate Bond Fund - Regular Growth,15.5541
